Question,Answer,Title
Những bài toán chính mà trí tuệ nhân tạo (AI) và máy học (M L) được áp dụng trong quy hoạch hạ tầng là gì?,"AI và ML chủ yếu được sử dụng cho các bài toán dự báo và phân loại. Dự báo giúp đưa ra dự đoán về sự kiện trong tương lai dựa trên quan sát trong quá khứ, còn phân loại giúp phân nhóm các đối tượng hoặc sự kiện dựa trên các đặc điểm quan sát được (Trang 5).",AI-INFRASTRUCTURE.pdf
What data is needed for AI or ML models to work effectively in infrastructure projects?,"AI and ML require data to be structured and labeled, typically in the form of tables with columns and rows like in Excel or SQL databases. The data needs to be formatted so that it can be read and understood by computers (Page 6).",AI-INFRASTRUCTURE.pdf
Điện toán đám mây đóng vai trò gì trong ứng dụng hạ tầng AI?,"Các nền tảng điện toán đám mây như Google Cloud, AWS, và Microsoft Azure cung cấp tài nguyên tính toán cần thiết để huấn luyện và triển khai các mô hình AI một cách hiệu quả, tận dụng sức mạnh của CPU và GPU (Trang 8).",AI-INFRASTRUCTURE.pdf
What are the four waves of AI development mentioned in the document?,"The four waves include: Internet AI (data from online user behavior), Business AI (business process optimization), Perception AI (AI capable of visual and auditory recognition), and Autonomous AI (AI that operates independently, such as self-driving cars) (Page 12).",AI-INFRASTRUCTURE.pdf
AI được ứng dụng như thế nào trong quy hoạch hạ tầng đô thị?,"AI hỗ trợ quy hoạch hạ tầng bằng cách sử dụng dữ liệu từ các dự án trước đây và tiêu chuẩn quy định. Nó giúp trong thiết kế phát sinh (Generative Design), kiểm tra tuân thủ các quy chuẩn và tối ưu hóa thiết kế hạ tầng qua các mô phỏng (Trang 14).",AI-INFRASTRUCTURE.pdf
What is Generative Design in the context of AI applications?,Generative Design is an AI-powered design approach in which a computer generates multiple design options based on predefined goals and constraints. Tools like the Generative Design Module in Revit 2021 use algorithms to generate optimal designs for urban infrastructure (Page 15).,AI-INFRASTRUCTURE.pdf
Các thuật toán nào được đề cập trong tài liệu để ứng dụng AI và ML?,"Tài liệu đề cập đến các thuật toán như cây hồi quy (regression tree), rừng ngẫu nhiên (random forest), k-Nearest Neighbors (kNN), và phân tích thành phần chính (PCA). Các thuật toán này được dùng cho các bài toán dự báo, phân loại và phân cụm (Trang 7).",AI-INFRASTRUCTURE.pdf
Business AI là gì và được áp dụng như thế nào trong các ngành như ngân hàng hay vận tải?,"Business AI được dùng để tận dụng dữ liệu trong việc tối ưu hóa các quy trình kinh doanh. Trong ngân hàng, AI giúp đánh giá hồ sơ vay vốn, trong khi ở vận tải, AI được dùng để tối ưu hóa chi phí quản lý và vận hành, như dự báo bảo trì phương tiện (Trang 13).",AI-INFRASTRUCTURE.pdf
Các thách thức về dữ liệu khi áp dụng AI vào các dự án quy hoạch hạ tầng đô thị là gì?,"Thách thức lớn nhất là đảm bảo dữ liệu được sử dụng phải có cấu trúc và được dán nhãn đầy đủ. Dữ liệu cần phải đến từ các nguồn tin cậy như thiết kế dự án trước đây, quy chuẩn pháp lý, và cần được tích hợp vào hệ thống như BIM để sử dụng hiệu quả (Trang 14).",AI-INFRASTRUCTURE.pdf
Những kỹ năng nào được khuyến khích cho những người quan tâm áp dụng AI vào thiết kế hạ tầng?,"Tài liệu đề xuất học các ngôn ngữ lập trình như Python, C++, hoặc Java, hiểu biết về các thuật toán AI và ML, và cập nhật thông tin qua các khóa học tự học trên các nền tảng như Coursera, edX. Ngoài ra, kiến thức chuyên ngành về kỹ thuật và hạ tầng cũng rất quan trọng (Trang 17).",AI-INFRASTRUCTURE.pdf
Why does the Fourth Industrial Revolution (IR4.0) present opportunities for Vietnam to develop AI?,"The Fourth Industrial Revolution provides opportunities for Vietnam due to its youthful and dynamic economy, which can easily adapt to new technologies. The existing outsourcing industry for both hardware and software also provides an experienced workforce exposed to the latest technologies and products (Page 1).",VietnamAI.pdf
Tại sao các doanh nghiệp cần triển khai hệ thống ứng dụng AI một cách nhanh chóng?,"Hệ thống AI cần được triển khai nhanh chóng vì bản chất ""kẻ thắng lấy tất cả"" của lợi ích AI. Những người đi đầu trong AI sẽ có được lợi thế đáng kể do hiệu ứng mạng dữ liệu. Các công ty ra mắt sản phẩm sớm hơn có thể thu thập nhiều dữ liệu hơn, cải thiện chất lượng sản phẩm và thu hút nhiều khách hàng hơn (Trang 2).",VietnamAI.pdf
"Which countries have developed national strategies for AI, and what are their goals?","China, France, Canada, and the United States have developed national strategies for AI. Their goals include enhancing national competitiveness, ensuring security, and promoting the development of strategic technologies for the future (Page 2).",VietnamAI.pdf
"Theo văn bản này, ứng dụng AI nào được ưu tiên phát triển tại Việt Nam?","Việt Nam nên ưu tiên ứng dụng AI liên quan đến quốc phòng, an ninh, nông nghiệp và các lĩnh vực thế mạnh khác như quản lý giao thông, sản xuất công nghiệp để thúc đẩy phát triển kinh tế - xã hội (Trang 3).",VietnamAI.pdf
What core technologies need to be focused on to develop AI in Vietnam?,"Core technologies that need to be developed include software development, embedded systems, cloud computing, big data, linear algebra, probability, mathematical statistics, optimization, and network security (Page 3).",VietnamAI.pdf
What AI system has Quang Trung Software City (QTSC) implemented as a case study?,"QTSC implemented the Video Management System (VMS), which collects and analyzes video data from thousands of cameras, including features like license plate recognition, face recognition, and object detection in real-time (Page 4).",VietnamAI.pdf
What is the role of image and video data in AI applications in Vietnam?,"Image and video data play a critical role in AI applications, especially in sectors like agriculture and fisheries. These technologies help increase productivity and improve product quality, contributing to sustainable economic growth (Page 3).",VietnamAI.pdf
Cơ sở hạ tầng mạng và chia sẻ dữ liệu đóng vai trò như thế nào trong mô hình thành phố thông minh được đề xuất?,Cơ sở hạ tầng mạng cần phải đủ mạnh để thu thập dữ liệu từ camera theo thời gian thực với chi phí hợp lý. Dữ liệu sẽ được phân tích và chia sẻ thông qua API để cho phép phát triển các ứng dụng thông minh cho thành phố (Trang 6).,VietnamAI.pdf
What strategies are proposed to develop the AI sector in Vietnam?,"Proposed strategies include developing key research labs, encouraging enterprises to participate in the training process, creating policies that prioritize AI projects, and setting standards for data sharing and connectivity (Page 7).",VietnamAI.pdf
Why is building a complete AI ecosystem important for Vietnam?,"Building a complete AI ecosystem is crucial for creating high-value solutions for society, fostering the growth of tech companies, and ensuring that Vietnam can participate in the global technology ecosystem, which is essential for improving national competitiveness (Page 7).",VietnamAI.pdf
What was the main reason for the high credit growth in Vietnam’s banking sector in 1Q22?,"The high credit growth, which reached 5.03% YTD in 1Q22, was driven by the increased funding demand from both retail and business segments. State-Owned Commercial Banks (SOCBs) also implemented campaigns such as waiving transaction fees to attract customers, which contributed to the growth (Page 2).",Bankingupdate.pdf
How did inflation expectations impact the Net Interest Margin (NIM) in 1Q22?,"Inflation expectations and rate increases from central banks in major markets are putting pressure on domestic interest rates, which could lead to increased funding costs and further pressure on NIM in upcoming quarters (Page 2).",Bankingupdate.pdf
What role does Artificial Intelligence (AI) play in assessing credit risk in the banking sector?,"AI plays a significant role in analyzing large datasets to assess credit risk, predict default probabilities, and assist in determining the creditworthiness of borrowers. This allows banks to effectively manage their credit portfolios and enhance customer risk assessment processes (Not explicitly mentioned, inferred from the focus on technology in banking).",Bankingupdate.pdf
How has the retail banking sector in Vietnam changed since the banking crisis of 2011-2012?,"Since the 2011-2012 banking crisis, retail banking's share of total lending has increased significantly from 20% to more than 44.1% in 2021. Banks have diversified credit risks and expanded credit portfolio yields to approach regional norms (Page 3).",Bankingupdate.pdf
"How did the trend in Non-Performing Loans (NPLs) change in 1Q22, and what impact did COVID-19 have?","NPLs and broad NPLs increased in 1Q22, particularly for banks with high retail exposure. As loans affected by COVID-19 were restructured, the expiration of grace periods led to an increase in non-performing loans (Page 6).",Bankingupdate.pdf
What strategies are banks in Vietnam employing to manage liquidity during periods of high credit growth?," Banks are utilizing interbank funding and international loans to manage liquidity. Net lenders include VCB, BID, and CTG, while major net borrowers are VPB, HDB, TCB, TPB, and VIB. These strategies provide a low-cost funding option to handle liquidity requirements (Page 5).",Bankingupdate.pdf
AI đang được sử dụng như thế nào trong hệ thống quản lý giám sát video trong ngành ngân hàng để phòng ngừa gian lận?,"Hệ thống quản lý video (VMS) hỗ trợ AI có thể được sử dụng để tăng cường bảo mật trong lĩnh vực ngân hàng bằng cách phân tích nguồn cấp dữ liệu video để phát hiện hành vi bất thường, xác định gian lận và nhận dạng biển số xe hoặc khuôn mặt, do đó góp phần vào các nỗ lực phòng ngừa gian lận (Trang 4, trường hợp sử dụng công nghệ suy ra).",Bankingupdate.pdf
What challenges have arisen in the deposit growth of Vietnamese banks in 1Q22?,"Deposit growth was relatively low at 2.2% YTD due to unattractive deposit rates and the increased demand for defensive assets such as gold, amid uncertainties in the global economy (Page 4).",Bankingupdate.pdf
AI góp phần cải thiện sự tương tác và sự hài lòng của khách hàng trong ngành ngân hàng như thế nào?,"AI góp phần vào sự tương tác của khách hàng bằng cách cung cấp các dịch vụ được cá nhân hóa, chatbot hỗ trợ khách hàng tức thời và hệ thống tư vấn tài chính do AI điều khiển. Điều này giúp các ngân hàng giữ chân và thu hút khách hàng, do đó nâng cao sự hài lòng và trải nghiệm của khách hàng (Không được đề cập rõ ràng, suy ra từ sự tập trung vào việc thích ứng công nghệ).",Bankingupdate.pdf
What are the projections for banks' Non-Performing Loan (NPL) rates in the latter half of 2022 and into 2023?,NPL rates are expected to continue increasing through 2H22 and into 1H23 due to the conclusion of COVID-19-related support policies and the maturation of restructured loans. This poses a risk of higher provisioning and potential credit losses for banks (Page 6).,Bankingupdate.pdf
Hệ thống ngân hàng đóng vai trò gì trong việc phát triển kinh tế và xây dựng quốc gia?,"Hệ thống ngân hàng đóng vai trò quan trọng trong phát triển kinh tế bằng cách mở khóa tài sản, tạo cơ hội, cung cấp việc làm, và tạo điều kiện cho thương mại. Nó cung cấp cơ chế cho các cá nhân và doanh nghiệp tham gia vào nền kinh tế toàn cầu (Trang 512).",BankingRole.pdf
What does a bank need to operate effectively?,"To operate effectively, banks need a legal system that respects contracts and agreements, an independent central bank, a judicial system that follows the rule of law, and government oversight to ensure soundness and legality (Page 513).",BankingRole.pdf
Vai trò của ngân hàng trong việc quản lý tài sản cá nhân là gì?,Ngân hàng cung cấp phương tiện an toàn và hiệu quả để lưu trữ tài sản cá nhân bằng cách chấp nhận tiền gửi và đảm bảo khả năng rút tiền theo yêu cầu hoặc sau một thời gian nhất định (Trang 516).,BankingRole.pdf
Tại sao ngân hàng có vai trò quan trọng trong việc chuyển đổi giá trị?,"Ngân hàng tạo ra các công cụ như séc, chuyển khoản, giúp chuyển đổi giá trị từ một bên sang bên khác một cách an toàn và hiệu quả, giảm thiểu rủi ro và chi phí so với các phương thức khác như trao đổi hàng hóa (Trang 516).",BankingRole.pdf
How do banks help promote economic activity?,"Banks act as a centralized source of capital, helping individuals and businesses borrow money to invest in education, housing, business, and other economic activities, thereby promoting economic development (Page 516).",BankingRole.pdf
"""Banks Serve as Multipliers of Wealth"" nghĩa là gì?","Thuật ngữ ""Banks Serve as Multipliers of Wealth"" ám chỉ khả năng của ngân hàng trong việc nhân đôi giá trị tiền thông qua việc huy động tiền gửi và cho vay. Ví dụ, một khoản tiền gửi có thể được sử dụng cho nhiều khoản vay và đầu tư khác nhau, giúp tạo ra nhiều giá trị kinh tế hơn (Trang 518).",BankingRole.pdf
What is the role of banks in promoting the market?,"Banks facilitate market transactions by providing monetary instruments, enabling participants to exchange goods and services without having to exchange them directly in terms of products (Page 517).",BankingRole.pdf
Tại sao cần có một hệ thống tư pháp nhanh chóng và công bằng cho hoạt động của ngân hàng?,"Hệ thống tư pháp công bằng và nhanh chóng giúp đảm bảo rằng các hợp đồng vay vốn được tôn trọng, và ngân hàng có thể tin tưởng vào khả năng hoàn trả của khách hàng. Điều này giúp ngân hàng giảm thiểu rủi ro và tăng hiệu quả cho vay (Trang 520).",BankingRole.pdf
Tại sao sự độc lập của ngân hàng trung ương lại quan trọng?,"Ngân hàng trung ương độc lập đóng vai trò quan trọng trong việc duy trì ổn định tiền tệ, kiểm soát lạm phát và cung cấp dịch vụ thanh toán giữa các ngân hàng, đảm bảo sự an toàn và lành mạnh của hệ thống tài chính (Trang 524).",BankingRole.pdf
Ngân hàng có vai trò gì trong việc cải thiện quản trị quốc gia?,"Ngân hàng là chất xúc tác cho quản trị tốt bằng cách yêu cầu tính minh bạch, thẩm định khả năng tài chính của người vay và thúc đẩy các chuẩn mực kế toán, giúp cải thiện sự quản lý và giám sát tài chính trong xã hội (Trang 519).",BankingRole.pdf
Ngành bảo hiểm Việt Nam gặp phải những thách thức gì trong năm 2023?,"Năm 2023, ngành bảo hiểm gặp nhiều khó khăn do ảnh hưởng từ thị trường tài chính. Doanh thu bảo hiểm nhân thọ giảm 11,6% so với năm trước, số lượng hợp đồng khai thác mới giảm 43,8%, và lượng hợp đồng hiệu lực cũng giảm 10,6% (Trang 3).",B?o hi?m Vi?t Nam.pdf
How did the non-life insurance segment perform in 2023?," Non-life insurance continues to grow with estimated revenue reaching VND 71,064 billion, up 5.1% compared to 2022. Some products such as property and casualty insurance grew by 11.1% and cargo insurance increased by 10.8% (Page 5).",B?o hi?m Vi?t Nam.pdf
Các loại hình bảo hiểm nhân thọ phổ biến nhất tại Việt Nam hiện nay là gì?,"Bảo hiểm liên kết đầu tư chiếm tỷ trọng cao nhất với 60,8%, tiếp theo là bảo hiểm tử kỳ chiếm 28,8%, và các loại bảo hiểm khác như bảo hiểm hỗn hợp, bảo hiểm hưu trí, bảo hiểm sức khỏe chiếm phần còn lại (Trang 4).",B?o hi?m Vi?t Nam.pdf
Which insurance company will lead in new premium revenue in 2023?,"Prudential ranked first with new insurance premium revenue reaching VND5,068 billion, followed by Dai-ichi Life with VND3,864 billion and Bao Viet Life with VND3,642 billion (Page 4).",B?o hi?m Vi?t Nam.pdf
Vai trò của đầu tư tài chính trong hoạt động của các công ty bảo hiểm là gì?,"Đầu tư tài chính là mảng sinh lợi chính cho các công ty bảo hiểm. Năm 2023, tổng lợi nhuận từ hoạt động đầu tư tài chính đạt hơn 14.200 tỷ đồng, tăng gần 4 lần so với năm 2015, và trở thành trụ cột đóng góp chính vào lợi nhuận của các doanh nghiệp bảo hiểm (Trang 8).",B?o hi?m Vi?t Nam.pdf
Các doanh nghiệp bảo hiểm nhân thọ thay đổi danh mục đầu tư như thế nào từ năm 2015 đến năm 2022?,"Các doanh nghiệp bảo hiểm nhân thọ giảm tỷ trọng đầu tư vào Trái phiếu Chính phủ từ 70% năm 2015 xuống còn 40% vào năm 2022, đồng thời tăng tỷ trọng đầu tư vào tiền gửi và Trái phiếu doanh nghiệp để cải thiện suất sinh lợi (Trang 9).",B?o hi?m Vi?t Nam.pdf
What is the average claim rate for non-life insurance and which type of insurance has the highest claim rate?,"The average compensation rate of non-life insurance is 33.6%, of which motor vehicle insurance has the highest compensation rate at 52.5% (Page 7).",B?o hi?m Vi?t Nam.pdf
Tỷ lệ thâm nhập của bảo hiểm tại Việt Nam so với GDP năm 2023 là bao nhiêu và mục tiêu năm 2025 của chính phủ là gì?,"Tỷ lệ thâm nhập của tổng doanh thu phí bảo hiểm tại Việt Nam năm 2023 là 2,31% GDP, trong khi mục tiêu của Chính phủ là đạt 3,5% GDP vào năm 2025 (Trang 8).",B?o hi?m Vi?t Nam.pdf
PVI có kết quả kinh doanh ra sao trong quý 1 năm 2024?,"Trong quý 1 năm 2024, PVI ghi nhận lợi nhuận sau thuế của cổ đông công ty mẹ đạt 361 tỷ đồng, tăng 41,5% so với cùng kỳ năm trước. Lợi nhuận này chủ yếu đến từ lãi tiền gửi và đầu tư trái phiếu (Trang 17).",B?o hi?m Vi?t Nam.pdf
Which insurance segment will account for the largest proportion of BIC's revenue in 2024?,"Health insurance accounts for the largest proportion of BIC's revenue at 51.2%, followed by fire insurance at 18%, and motor vehicle insurance at 17.1% (Page 17).",B?o hi?m Vi?t Nam.pdf
What is the Global Monitoring Exercise (GME) as mentioned in the report?,"The Global Monitoring Exercise (GME) is the IAIS framework used to monitor risks and trends in the global insurance sector, assessing potential systemic risk buildup. It collects data from individual insurers and supervisors across different jurisdictions to evaluate market developments and assess systemic vulnerabilities (Page 1).",Global_insurance-Market-Report-2023.pdf
Môi trường kinh tế vĩ mô tác động như thế nào đến ngành bảo hiểm năm 2022?,"Môi trường kinh tế vĩ mô đầy thách thức, đặc trưng bởi lãi suất tăng, lạm phát và rủi ro tín dụng, dẫn đến sự sụt giảm tài sản của công ty bảo hiểm do giá trị vốn chủ sở hữu giảm, chênh lệch tín dụng mở rộng và biến động tiền tệ. Những diễn biến tài chính này ảnh hưởng đến cả vị thế khả năng thanh toán và thanh khoản của các công ty bảo hiểm trên toàn cầu (Trang 2).",Global_insurance-Market-Report-2023.pdf
What are the main challenges related to liquidity risks in the insurance sector?,Main challenges include increasing policy surrenders due to rising interest rates and potential liquidity issues linked to derivatives and margin calls. Supervisors have responded by conducting stress testing and frequent monitoring of liquidity to mitigate these risks (Page 16).,Global_insurance-Market-Report-2023.pdf
Tầm quan trọng của rủi ro liên quan đến khí hậu đối với ngành bảo hiểm như đã thảo luận trong báo cáo là gì?,"Các rủi ro liên quan đến khí hậu, chẳng hạn như các sự kiện thiên tai (NatCat) gia tăng, có tác động đáng kể đến danh mục đầu tư và nghĩa vụ của các công ty bảo hiểm. Các giám sát viên nhấn mạnh nhu cầu hiểu và giám sát các rủi ro này để đảm bảo rằng các yêu cầu về vốn phản ánh đúng các mối đe dọa mới nổi này (Trang 41).",Global_insurance-Market-Report-2023.pdf
How is reinsurance playing a role in mitigating climate-related risks for insurers?,"Reinsurance is used to transfer significant portions of NatCat-related risks from primary insurers to reinsurers. This is crucial in managing insurers' solvency positions, as the gross loss from a 1-in-200-year NatCat event could decrease insurer capital coverage ratios by up to 34% without effective reinsurance arrangements (Page 50).",Global_insurance-Market-Report-2023.pdf
" What are ""asset-intensive reinsurance"" agreements, and why are they significant?","Asset-intensive reinsurance agreements transfer both investment and biometric risks from ceding insurers to reinsurers. This type of reinsurance is commonly used to optimize risk and capital management, particularly in life insurance, where liabilities are long-term and require effective management of assets to generate yield (Page 34).",Global_insurance-Market-Report-2023.pdf
Một số rủi ro liên quan đến việc tăng phân bổ tài sản thay thế của các công ty bảo hiểm là gì?,"Việc tăng phân bổ cho các tài sản thay thế, thường kém thanh khoản và phức tạp hơn, gây ra các rủi ro như sự không chắc chắn về định giá cao hơn, thách thức về thanh khoản trong thời kỳ suy thoái và khả năng tiếp xúc với xung đột lợi ích. Các giám sát viên lưu ý rằng việc tiếp xúc của các công ty bảo hiểm với các loại tài sản này phải được quản lý bằng các biện pháp quản lý rủi ro đầy đủ (Trang 25).",Global_insurance-Market-Report-2023.pdf
What are the key metrics used to assess the climate-related risks of sovereign debt instruments?,"The key metrics used are the ND-GAIN index (which assesses a country's vulnerability to climate change), the IMF climate-driven INFORM risk index (measuring physical risk), and CO2 emissions relative to GDP, which help determine transition and physical risks associated with sovereign debt held by insurers (Page 47).",Global_insurance-Market-Report-2023.pdf
How do changes in the solvency ratios of insurers impact their ability to absorb macroeconomic shocks?,"A decrease in solvency ratios indicates reduced capacity to absorb macroeconomic shocks. Factors such as declining asset valuations, widened credit spreads, and volatility in interest rates have all contributed to a decrease in solvency ratios in many jurisdictions, making insurers more vulnerable to future economic stress (Page 11).",Global_insurance-Market-Report-2023.pdf
What are the supervisory measures suggested to address the risks related to cross-border asset-intensive reinsurance?,"Supervisory measures include improved collaboration between supervisory authorities, increased scrutiny of the valuation standards and investment behaviors of reinsurers, and a detailed understanding of the terms and conditions involved in reinsurance agreements, such as collateral requirements and asset management practices (Page 37).",Global_insurance-Market-Report-2023.pdf
What are the primary applications of particle accelerators in the medical field?,"Particle accelerators are primarily used for medical purposes such as the production of radioisotopes for diagnostics, like PET and SPECT, as well as for cancer treatments through classical radiotherapy and hadrontherapy (Page 1).",Medical_Applications.pdf
Sự khác biệt giữa liệu pháp hadron và xạ trị cổ điển là gì?,"Hadrontherapy sử dụng proton và ion nặng, trong khi xạ trị cổ điển thường sử dụng photon và electron. Hadrontherapy cho phép định vị liều tốt hơn do đỉnh Bragg, giúp điều trị khối u sâu hiệu quả hơn trong khi vẫn bảo vệ mô khỏe mạnh (Trang 3).",Medical_Applications.pdf
"What is the Bragg peak, and why is it important in hadrontherapy?","The Bragg peak is a sharp increase in energy deposition by hadrons at a specific depth, allowing precise targeting of tumors with minimal damage to surrounding tissues. This is a key advantage in using hadrontherapy for cancer treatment (Page 4).",Medical_Applications.pdf
Hai kỹ thuật chẩn đoán hình ảnh chính sử dụng đồng vị phóng xạ là gì?,Hai kỹ thuật chụp ảnh chính là Chụp cắt lớp phát xạ photon đơn (SPECT) và Chụp cắt lớp phát xạ positron (PET). Cả hai đều sử dụng chất đánh dấu phóng xạ để cung cấp hình ảnh bên trong chi tiết cho chẩn đoán y tế (Trang 2).,Medical_Applications.pdf
Why is Technetium-99m significant in nuclear medicine?,"Technetium-99m is the most widely used radioisotope in nuclear medicine, accounting for approximately 80% of all procedures. It is ideal due to its suitable half-life and energy characteristics for safe and effective imaging (Page 2).",Medical_Applications.pdf
What is the role of synchrotrons and cyclotrons in hadrontherapy?,"Synchrotrons and cyclotrons are used as particle accelerators in hadrontherapy. Cyclotrons are generally more compact and suitable for proton therapy, while synchrotrons can accelerate heavier ions like carbon, making them more versatile but also more complex and expensive (Page 6).",Medical_Applications.pdf
What is the significance of Linear Energy Transfer (LET) in radiotherapy?,"Linear Energy Transfer (LET) measures the energy deposited by radiation as it travels through tissue. Higher LET values, as seen in hadrontherapy with carbon ions, indicate more concentrated energy deposition, increasing the effectiveness of destroying cancer cells (Page 5).",Medical_Applications.pdf
Kỹ thuật phân phối chùm tia thụ động hoạt động như thế nào trong liệu pháp hadron?,"Phân phối chùm tia thụ động liên quan đến việc định hình chùm tia bằng một số bộ hấp thụ trước khi chùm tia đến bệnh nhân. Điều này bao gồm các bộ phân tán để mở rộng chùm tia, một bộ phân hủy để thay đổi năng lượng và một bộ định hướng để định hình bức xạ theo kích thước của khối u (Trang 7).",Medical_Applications.pdf
What are the challenges of using synchrotrons for hadrontherapy?,"Synchrotrons are technologically complex and costly compared to cyclotrons. They require a high-energy injector and have larger physical dimensions, particularly when accelerating carbon ions, which makes their implementation challenging (Page 6).",Medical_Applications.pdf
What future developments in accelerator technology are highlighted for hadrontherapy?,"Future developments include the use of Fixed-Field Alternating Gradient (FFAG) accelerators, Linac Boosters (LIBO), and Dielectric Wall-induction Accelerators (DWA), aimed at making accelerators more compact, efficient, and cost-effective for clinical use (Page 13).",Medical_Applications.pdf
Tại sao các bác sĩ lâm sàng cần phải học phương pháp nghiên cứu khoa học?,"Các bác sĩ lâm sàng cần học phương pháp nghiên cứu khoa học để đánh giá và lựa chọn thông tin chính xác cho công việc của mình, đặc biệt là khi môi trường và kiến thức y học luôn thay đổi nhanh chóng. Nghiên cứu giúp họ tìm ra câu trả lời cho các vấn đề phát sinh từ thực hành lâm sàng hàng ngày (Trang 4).",Nghiên c?u y khoa.pdf
"""Dịch tễ học"" đóng vai trò gì trong nghiên cứu y khoa?","Dịch tễ học là ngôn ngữ chung giúp các bác sĩ lâm sàng trình bày kinh nghiệm của mình thông qua các nghiên cứu, tạo điều kiện hội nhập với đồng nghiệp trong và ngoài nước. Nó giúp xác định và mô tả các mô hình bệnh lý cũng như đánh giá các yếu tố nguy cơ (Trang 4).",Nghiên c?u y khoa.pdf
What are the basic steps to conducting a medical study?,"The basic steps to conduct a study include: defining a research question, choosing research tools (epidemiology and biostatistics), starting with a literature search, preparing the research steps, and applying the results back to practice (Page 14).",Nghiên c?u y khoa.pdf
Why is it necessary to search the literature before conducting research?,"Literature searches help to understand previous research, identify unsolved problems, and build a knowledge base to guide your research. This avoids duplication of research and helps to formulate a specific research question (Page 23).",Nghiên c?u y khoa.pdf
Nghiên cứu mô tả là gì và vai trò của nó trong y khoa?,"Nghiên cứu mô tả là nghiên cứu quan sát, dùng để mô tả các đặc tính của bệnh trong quần thể, giúp xác định tình trạng bệnh, và tìm hiểu vấn đề sức khỏe mới. Đây là bước đầu tiên quan trọng để hiểu sâu về dịch bệnh trước khi tiến hành các nghiên cứu sâu hơn (Trang 50).",Nghiên c?u y khoa.pdf
Các loại sai lệch (bias) có thể gặp trong nghiên cứu y khoa là gì?,"Có nhiều loại sai lệch như sai lệch lựa chọn (selection bias), sai lệch phát hiện (detection bias), và sai lệch nhớ lại (recall bias). Sai lệch xảy ra khi quá trình thu thập dữ liệu, chọn đối tượng nghiên cứu, hoặc xử lý thông tin bị ảnh hưởng bởi yếu tố ngoài tầm kiểm soát (Trang 37).",Nghiên c?u y khoa.pdf
Nhiễu (confounding) là gì và tại sao nó quan trọng trong nghiên cứu?,"Nhiễu là hiện tượng mà yếu tố khác làm biến dạng mối liên hệ giữa yếu tố tiếp xúc và kết cục. Yếu tố này phải là yếu tố nguy cơ của kết cục và có liên quan đến yếu tố tiếp xúc, nhưng không nằm trong tiến trình nguyên nhân của kết cục đó (Trang 44).",Nghiên c?u y khoa.pdf
Thế nào là một nghiên cứu cắt ngang và mục tiêu của nó?,Nghiên cứu cắt ngang là loại nghiên cứu đánh giá tỉ lệ hiện mắc của bệnh trong một quần thể vào một thời điểm cụ thể. Nó giúp xác định gánh nặng bệnh tật và hình thành giả thuyết về mối liên quan giữa các yếu tố nguy cơ và kết quả sức khỏe (Trang 57).,Nghiên c?u y khoa.pdf
What are the data collection methods in cross-sectional research?,"Data collection methods in cross-sectional studies may include face-to-face interviews, retrospective medical record reviews, and the use of self-administered questionnaires. Depending on the type of variable and the nature of the study, the appropriate method is selected (Page 61).",Nghiên c?u y khoa.pdf
Tại sao cần đánh giá có hệ thống các bài báo khoa học khi làm nghiên cứu?,"Đánh giá có hệ thống các bài báo khoa học giúp đọc, hiểu, và đánh giá giá trị của các nghiên cứu, xác định giới hạn và tính ứng dụng của kết quả nghiên cứu. Việc này rất quan trọng để đảm bảo các kết quả khoa học được áp dụng hiệu quả trong thực hành lâm sàng (Trang 30).",Nghiên c?u y khoa.pdf
